"","log.ecis","ecisL","ecisH","log.rHy","rHyL","rhyH","B.log.ecis","B.ecisL","B.ecisH","rowMeans(exph[, -1])","geneN"
"1",6.29139561607187,5.26348205987873,7.62828899039569,0,NA,18.2037843725082,6.29139560532704,5.26311023812604,7.628317757066,13.825,"HMLALPHA1"
"2",-5.04521830879474,-5.16284872004854,-4.93054396262777,0,NA,10.556411948372,-5.04522124069837,-5.16281897682796,-4.93055829775659,603.225,"RDL1"
"3",-4.15682276945869,-4.30604949383019,-4.01189038166951,0,NA,12.944471024495,-4.15682268088277,-4.30623617720817,-4.01188534570479,217.9,"ERD1"
"4",-4.14993793833532,-4.40105994013395,-3.91121856300675,0,NA,13.9254850353064,-4.14993811728561,-4.40105284913101,-3.91121063014127,76.875,"HBN1"
"5",3.92607387229357,2.88101383947601,5.06085847840905,15.9672393405824,NA,20.0156158398245,3.91978524581329,3.07374418830422,4.9401696142823,5.225,"CSM4"
"6",-3.86227829350711,-3.96545192540154,-3.76198038832945,7.76693837454381,NA,10.9963050579722,-3.86205153724785,-3.95631396937164,-3.76954633180687,439.375,"TAH1"
"7",-3.85690977601106,-4.20187271692766,-3.51818388792654,13.3953056772735,NA,15.9431592808235,-3.8578804531904,-4.15609195700132,-3.57657154929197,46.2,"SMA2"
"8",-3.0533436390049,-3.38796122865051,-2.73791180111014,0,NA,15.6612347595589,-3.05334391655439,-3.38795952343706,-2.7378971025477,23.9,"YCR099C"
"9",2.91028158884184,2.71647520768059,3.10456924123826,14.0506669769433,12.2852335851548,15.4955528244247,2.89756630214526,2.78204594545017,3.0154897420649,161.575,"IMP1"
"10",2.90271326686462,2.59310010865864,3.20758948711132,15.9786517126072,14.9948097383246,17.1228405078729,2.66458063165316,2.5852816571869,2.74495045135926,309.65,"BSC1"
"11",2.81105837459846,2.41521483529278,3.19467850287099,15.0908119864354,NA,17.340231202576,2.83129239689202,2.53098800589972,3.14816911236188,24.65,"SPO19"
"12",2.77997157506361,2.71248298042802,2.84479686610984,10.0565394734454,NA,12.2654303813143,2.78302081628735,2.7316408132198,2.83486016326841,795.25,"MRH1"
